,Breaks,Future of Music,SunBathe,Liz Cooper & the Stampede,Lucid Aisle,Naked Giants,Llyod and Saviour,LarsLuna,Sportscourt,The Suffers,Tispur,Teddy and the Rough Riders,Jared Mees,Illicit Nature,Blood Lemon,Moon Palace,Wild Spells,Mains and Monitors,The Undercover Dream Lovers,Dolphin Midwives,Furit & Flowers,And And,Ivy Wild,Pinky Pinky,Built to Spill,Frankie,Mertle,Swarm Beating,Billy Moon,Childspeak,Whiskey Sasquatch,Audio Moonshine,Hers,Boise,Cosmonautical,Spirit Award,K,Anna Tivel,ACUDETH,Jacq Maliq,Motherhood,Bloods,Karen Meat,Bugg,Laura Veirs,Balms,Burl Haggard,Rosie Tucker,Black Mountain,Wildermiss,1788-L,Bibi Mcill,Spooky Mansion,Ana Lete,Brooke Would,Cumulus,Bibi McGill,Why Bonnie,Bitch'n,Naked Giants,King Ropes,Lander,Styles in Black,Aan,Chame & OG,Drug Apts,Smokey Brights,Jack Burton,Whitney Ballen,Delta Mud,Ekali,Frim Fram 4,Knuckle Pups,Sparatik,Chris King & the gutterballs,Ryan Peck,Cavegreen,Mostly Muff,Madge,Vertical Scratchers,Axiom Tha Wyze,Night Beats,Auzomatik,Shadowlands,Dentist,Deuce Parks,Sheep Bridge Jumpers,Joshy Soul,Bodies on the Beach,All Star Opera,Deeveaux,The House of Aura,Video Age,good Not Great,Small Million,The Golden Fleece,Mike Krol,Ponderay,Cherry Glazerr,Sol Rising,New Move,Lee Corey Oswald,Hillstomp,Effy K,Spooky Mansion,Zee Will,Kastle,Effy K,Anemone,Juice,Deejay Fangy,Spirit Award,The Love Bunch,Lonesome Jetboat Ramblers,Jared Mees,The Brents
Tispur,0,30,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,30,30,0,0,30,30,30,30,30,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,30,0,30,0,0,30,30,30,30,0,0,0,0,0,0,0,30,30,0,30,0,0,0,0,30,0,0,0,0,0,30,30,0,0,0,0,0,30,30,0,0,30,0,30,0,30,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,30,30,0,0,30,0
Teddy and the Rough Riders,0,0,0,30,0,0,30,0,30,0,30,0,0,30,0,30,0,0,0,30,30,0,0,0,0,0,30,30,0,0,0,0,0,30,30,30,0,30,0,30,0,0,0,0,30,0,0,30,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,0,0,30,0,0,0,0,0,0,0,30,30,0,0,0,30,30,0,0,30,30,0,0,0,30,30,30,0,0,30,0,0,0,30,0,30,0,30,0,30,30,0,0,0,30,0,30,0,0,30,0,30,0
Jared Mees,30,30,0,30,30,0,0,0,0,0,0,0,0,0,30,30,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0,30,30,0,0,0,30,0,0,0,0,0,30,0,0,30,0,30,0,30,0,0,0,30,0,30,0,0,30,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,30,0,0,30,0,0,0,30,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,30,0,0,0,0,0
Illicit Nature,30,0,0,30,0,30,30,0,0,30,0,0,0,0,0,30,0,30,30,0,0,0,0,0,0,30,0,0,0,0,30,30,0,30,0,0,0,30,0,0,0,30,0,0,30,0,0,0,0,0,30,0,30,0,30,30,0,0,30,0,30,0,30,30,30,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,30,0,0,30,30,0,0,0,30,0,0,30,0,0,0,30,0,0,0,0,30
Blood Lemon,0,30,0,30,0,30,0,30,30,30,0,30,30,30,0,0,0,30,0,0,30,0,0,0,0,0,30,0,0,0,30,30,0,0,0,0,30,30,0,0,0,30,0,0,30,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,30,0,0,30,0,30,0,0,0,0,0,0,30,0,30,0,30,0,0,0,30,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,30,30,0,30,0,0,0,30,0,30,0,0
Moon Palace,0,30,30,0,0,0,30,30,30,30,0,0,0,30,0,0,0,0,30,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,30,30,30,0,30,0,30,0,0,0,30,0,0,0,0,0,0,30,0,30,0,0,0,0,30,0,30,0,30,30,0,30,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30
Wild Spells,0,0,0,0,0,30,0,0,30,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,30,30,30,0,0,30,30,30,0,0,0,0,0,30,0,0,0,30,0,30,30,30,0,0,0,0,0,0,0,0,0,30,30,0,30,30,0,0,30,30,0,30,0,0,0,30,30,0,0,0,0,0,0,0,30
Mains and Monitors,0,30,0,0,0,0,0,0,0,0,30,0,0,0,30,0,30,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,30,30,0,30,0,0,0,30,0,0,0,30,30,0,30,0,0,30,30,0,0,0,30,0,0,30,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,30,30,0,0,0,0,0,30,0,0,30,30,0,30,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0
The Undercover Dream Lovers,0,0,0,0,0,0,0,0,30,30,0,30,0,0,0,0,0,30,0,0,30,30,0,0,0,30,0,0,30,0,0,0,0,0,30,30,0,30,0,30,0,30,0,30,0,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,30,0,30,30,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30
Dolphin Midwives,0,30,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30,30,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,30,30,30,30,30,0,30,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0
Furit & Flowers,0,30,30,0,30,0,0,30,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,30,0,30,30,0,0,0,30,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,30,0,0,30,0,30,30,0,0,30,0,30,0,0,0,30,0,0,0,0,30,30,0,0,0,0,30,0,0,0,30,0,0,30,0
And And,30,0,30,30,30,0,0,30,0,0,30,0,30,0,0,0,30,30,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,30,30,0,0,30,30,30,0,30,0,0,0,0,30,0,0,0,0,30,0,30,30,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,30,0,0,0,0,30,30,30,0,0,0,30,0,0,30,0,30,0,30,0,0,30,30,0,30,0,30,0,30,0,0,0,0,30,0,30,0,0,0,0,0,30,30
Ivy Wild,0,0,0,0,30,0,30,0,0,30,30,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,0,0,0,30,30,0,0,0,30,0,0,30,0,0,0,0,30,30,0,0,30,0,0,30,0,0,0,30,30,0,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,30,30,30,0,0,0,30,0,0,30,0,0
Pinky Pinky,0,30,30,0,0,30,30,0,0,30,0,0,0,0,0,30,0,30,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,30,0,0,30,0,0,0,0,0,30,0,30,0,0,30,0,0,0,30,0,30,0,0,30,0,0,0,30,0,30,0,0,30,0,30,0,0,0,30,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,30,0,0,30,30,0,0,0,30,0,0,0,0,0,0,0,0,0
Built to Spill,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,30,30,0,30,0,0,0,30,30,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,30,30,30,0,0,0,0,30,30,0,0,0,0,30,0,30,0,0,0,30,0,30,0,0,0,0,0,0,30,0,0,0,30,0,0,0,30,0,0,30,0,0,0,30,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,30,30,0,0
Frankie,0,30,0,0,30,0,30,0,0,0,0,30,30,0,0,0,0,30,30,30,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,30,0,30,0,0,30,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,30,0,30,30,0,0,30,30,30,0,0,0,0,0,0,0,30,30,0,30,0,0,0
Mertle,30,0,0,0,0,0,0,0,30,0,30,0,0,30,0,30,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,30,0,30,0,0,30,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,30,0,0,0,0,0,30,0,0,30,30,30,0,0,0,0,30,30,30,0,0,0,0,0,30,0,0,0,30,30,30,0
Swarm Beating,0,0,30,0,30,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,30,0,0,30,30,0,0,30,0,0,30,0,0,0,0,30,0,0,0,0,30,30,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,30,0,0,30,0,0,0,0,30,0,0,30,0,30,0,0,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,0
Billy Moon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,30,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,30,0,30,0,0,0,0,30,0,0,30,30,0,0,30,0,0,30
Childspeak,30,30,0,30,0,0,30,0,0,0,30,0,0,0,30,30,30,0,30,0,30,0,0,0,0,0,30,0,30,0,0,30,30,0,0,0,0,0,0,0,0,30,0,30,0,0,0,30,30,30,0,30,0,0,0,0,0,0,0,30,0,30,30,0,0,0,0,0,30,0,0,0,30,0,0,30,30,30,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
Whiskey Sasquatch,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,30,0,0,0,0,30,0,30,0,0,30,30,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,30,30,0,0,0,30,30,0,30,0,0,30,0,0,0,30,0,30,30,0,0,30,0,0,0,0,0,30,0,0,30,0,30,0,30,0,0,30,0,0,0
Audio Moonshine,0,30,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,30,0,30,30,0,0,30,0,0,0,0,0,0,0,30,30,30,0,0,0,30,30,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,30,0,0,30,0,30,30,30,0,30,0,0,30,0,0,0,0,0,0
Hers,30,0,30,0,0,0,0,30,0,0,30,0,0,30,30,0,0,30,30,30,0,30,0,0,0,0,30,0,0,30,0,0,0,30,0,0,0,0,0,30,30,30,0,0,30,0,0,30,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,30,30,0,0,0,0,30,0,0,30,30,0,30,30,0,0,0,0,0,0,30,0,30,0,0,0,0,30,0,30,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
Boise,0,30,0,0,0,0,0,30,0,0,30,0,30,0,0,0,30,0,0,0,0,30,0,0,30,30,30,0,30,30,0,0,0,0,30,0,30,0,0,0,30,30,0,30,0,30,30,0,0,0,0,30,30,0,0,30,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,30,0,30,0,30,30,0,0,30,0,0,0,0,30,30,0,0,30,30,0,0,0,30,0,30,0,30,30,0,30,30,0,0,0,30,0,0,0,0,0,0,0,0,0,30
Cosmonautical,0,0,0,30,30,0,0,30,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,30,0,30,0,0,30,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30,0,0,30,30,0,0,30,0,0,0,30,0,30,30,30,0,30,0,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,30,0,0,0,0,0,30,0,30,0,0,0,30,30,0,0,0,0,0
Spirit Award,30,0,0,0,0,0,0,0,0,0,0,30,30,30,0,0,0,30,30,0,0,0,30,0,0,30,30,0,30,30,0,0,0,30,30,0,0,0,0,30,30,30,0,0,30,0,30,0,0,0,0,30,30,30,0,0,30,30,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,30,30,30,30,0,0,0,0,30,0,30,0,0,0,0,0,30,0,30,30,0,0,30,0,0,0,0
K,30,0,0,0,0,30,0,30,30,30,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,30,30,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,30,0,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0,0,30,0,30,0,0,0,30,0,30,0,0,0,0,30,0,0,30,0,30,0,0,0,0,0,0,0,0
Anna Tivel,0,0,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,30,0,30,30,30,0,30,30,30,30,0,0,0,0,0,0,0,0,30,0,30,0,0,0,30,0,30,0,30,30,30,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,30,30,30,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,30,0,0,30,0,0,0,30,0,0,0,0,30,0
ACUDETH,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0,30,0,30,0,30,0,0,30,30,0,0,0,0,30,0,0,0,0,30,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,30,30,0,0,30,30,0,0,30,0,30,0,0,30,0,0,30,0,0,0,0,0,30,0,0,0,30,0,30,0,0,0,30,0,0,0,30,30,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0,30,0,0,30,0,30,0,0,0,0,30,0,0
Jacq Maliq,30,0,0,30,0,0,0,30,30,0,30,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,0,30,0,30,0,30,0,30,30,0,0,0,0,0,0,0,0,30,0,30,30,0,30,0,30,0,30,0,0,30,0,0,0,0,30,30,0,0,0,0,0,30,30,0,0,0,0,0,0,30,30,30,0,30,0
Motherhood,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,30,0,0,0,0,30,30,0,0,30,0,30,30,0,30,0,30,0,0,30,0,0,0,0,30,0,0,0,0,0,0,30,0,0,30,0,30,0,0,0,0,0,0,30,0,0,0,0,0,30,0,30,0,0,0,0,30,0,0,30,0,30,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0
Bloods,30,30,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,30,0,0,30,30,0,30,0,0,0,0,30,30,0,0,0,0,0,0,30,0,0,0,0,0,30,30,0,0,0,30,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,30,30,30,0,0,0,0,0,30,30,0,0,30,30,0,0,0,0,30,30,0,30,0,30,0,0,0,0,30,30,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0
Karen Meat,0,0,0,0,30,0,30,30,0,0,0,0,30,30,0,0,0,30,0,0,0,0,30,0,0,0,30,30,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,30,30,0,0,0,0,0,30,0,0,0,30,0,0,0,30,0,30,0,0,30,0,0,0,0,30,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,30,0,0,0,30,0,0,0,0,0
Bugg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,30,30,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0,0,0,30,0,30,0,0,0,30,0,30,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,30,30,0,0,0,30,0,30,30,0,30,30,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,30,30,0,30,0,0,30,0,30,0,30,0,0
Laura Veirs,30,30,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0,30,30,0,0,0,0,30,30,0,30,0,0,0,0,0,0,0,30,30,30,0,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,30,30,0,0,30,0,0,30,0,0,0,0,0,0,30,30,0,0,0,0,30,0,0,0,30,0,30,30,0,30,30,0,0,30,0,0,0,0,0,0,0,30,30,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
Balms,0,0,0,0,0,30,0,0,30,0,0,0,30,0,0,0,30,0,0,0,30,0,0,0,30,30,0,30,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0,30,0,30,0,0,0,30,0,0,30,0,30,0,0,0,30,0,30,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,30,0,0,0,0,30,0,0,0,30,0,30,0,0,30,0,0,0,30,0,0,30,0,0,0,30,0
Burl Haggard,30,0,30,30,30,0,30,30,0,30,0,0,30,0,30,0,0,0,30,30,30,30,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,30,30,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,30,0,0,30,0,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30,30,0,30,0,0,0,0,0,0,0,0,0,0,0,30
Rosie Tucker,30,0,0,30,0,0,30,0,0,0,30,0,30,0,30,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,30,0,30,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,30,30,30,0,0,0,0,30,30,0,30,30,0,0,0,30,30,0,0,0,30,30,0,30,0,0,30,0,0,30,0,0,0,0,30,30,0
Black Mountain,0,30,0,0,0,0,0,0,0,30,30,0,0,0,30,0,30,0,0,30,30,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,0,30,0,30,0,0,30,30,0,0,30,0,0,0,0,0,0,0,30,0,0,30,0,30,0,30,0,0,0,0,30,30,30,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,30,0,30,30,0,30,0,0,0,30,30,0,0,0,0,0,30,0,30,30,30,0,30
Wildermiss,0,0,0,0,30,0,0,0,0,30,0,0,30,0,30,0,30,0,0,0,0,0,30,0,0,30,30,30,0,0,0,0,0,0,0,0,0,30,30,30,0,30,0,30,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,30,0,30,0,0,0,30,0,0,30,0,0,0,0,0,0,30,30,0,30,0,0,0,0,0,0,0,0,0,0,30,0
1788-L,0,30,0,30,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,30,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,30,30,30,30,0,30,30,30,0,0,30,0,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,30,0,0,0,30,30,0,30,0,30,30,0,0,0,0,30,30
